Operateur,x,y,2G,3G,4G
Bouygues,624055,6540616,1,1,1
SFR,624055,6540616,1,1,1
Bouygues,624057,6360195,1,1,1
SFR,624057,6360195,1,1,1
Free,624057,6360196,0,1,1
Bouygues,624061,6853894,1,1,1
Orange,624067,6853893,0,1,1
Bouygues,624077,6497281,1,1,1
SFR,624077,6497281,1,1,1
Orange,624077,6497291,1,0,0
Orange,624077,6869855,0,1,1
SFR,624086,6851862,1,1,1
Bouygues,624094,6671107,1,1,1
SFR,624094,6671107,1,1,1
Orange,624104,6671107,1,1,0
Bouygues,624133,6721368,1,1,1
SFR,624133,6721368,1,1,1
Orange,624150,6720671,1,1,0
Bouygues,624156,6879016,1,1,1
Orange,624173,6411852,0,1,0
Free,624173,6411853,0,1,0
SFR,624173,6411853,1,1,0
Bouygues,624185,6256811,1,1,1
SFR,624185,6256811,1,1,1
Orange,624265,6889460,1,1,1
SFR,624269,6859425,0,1,1
Bouygues,624273,6889489,1,1,1
SFR,624273,6889489,1,1,1
SFR,624276,6879081,1,1,1
Bouygues,624316,7047376,1,1,1
SFR,624316,7047376,1,1,1
Bouygues,624340,6874817,1,1,1
Orange,624342,6874818,1,1,0
Bouygues,624422,6862647,1,1,0
Orange,624424,6371774,1,1,1
Orange,624434,7004597,1,1,1
Orange,624440,6862700,1,1,1
Free,624456,6854787,0,1,1
Bouygues,624467,6854795,1,1,1
SFR,624481,6885610,1,1,1
Bouygues,624482,6885608,1,1,1
SFR,624493,6862595,1,1,1
Orange,624515,6528193,0,1,0
Orange,624515,6854793,1,1,1
Bouygues,624516,6528193,1,1,0
SFR,624516,6528193,1,1,0
Free,624516,6528194,0,1,0
Bouygues,624516,6845033,1,0,0
Bouygues,624527,7082249,1,1,1
SFR,624527,7082249,1,1,1
SFR,624546,6855238,1,1,1
Orange,624552,6856320,1,1,1
Bouygues,624554,6865096,1,1,1
Bouygues,624556,6856315,1,1,1
Orange,624556,6865079,1,1,1
Bouygues,624564,6858477,1,1,1
SFR,624587,6865100,1,1,0
Free,624589,6870835,0,1,1
SFR,624606,6877086,1,1,1
Free,624607,6877086,0,1,0
Orange,624609,7082345,1,1,1
SFR,624615,6830030,1,1,1
Bouygues,624620,6830030,1,1,1
Bouygues,624622,6651186,1,1,1
SFR,624623,6651184,1,1,1
Orange,624627,6651188,1,1,1
SFR,624627,6758640,1,1,1
Orange,624639,6851867,0,1,1
Bouygues,624639,6877097,1,1,1
Free,624640,6758649,0,1,1
Orange,624641,6758651,1,1,0
Bouygues,624641,7005268,1,1,1
SFR,624641,7005268,1,1,1
Free,624641,7005269,0,1,1
Bouygues,624642,6758639,1,1,1
SFR,624651,6855742,1,1,1
Orange,624672,6886798,1,1,1
Bouygues,624687,6502705,1,1,0
Free,624687,6502705,0,1,0
Orange,624687,6502705,0,1,0
SFR,624687,6502705,1,1,0
Orange,624698,6434253,1,1,1
Orange,624710,6758911,0,0,0
Bouygues,624731,6388762,1,1,1
SFR,624731,6388762,1,1,1
Orange,624734,7061849,1,1,1
Bouygues,624736,7061831,1,1,0
Orange,624777,6845542,1,1,1
SFR,624783,6859130,1,1,1
Orange,624788,6942246,1,1,1
Orange,624791,6859076,0,1,1
SFR,624799,6845568,1,1,0
SFR,624809,7041041,1,1,0
Bouygues,624809,7041051,1,1,0
Free,624810,7041052,0,1,0
Orange,624812,7041053,1,1,0
Bouygues,624823,6942333,1,1,1
SFR,624823,6942333,1,1,1
Free,624827,6942307,0,1,1
Bouygues,624850,7094962,1,1,1
SFR,624854,7094961,1,1,1
Orange,624861,6853197,1,1,1
Bouygues,624871,7057627,1,1,0
Orange,624929,6880500,1,1,1
Orange,624966,6362500,1,1,0
Free,624967,6859343,0,1,1
Bouygues,624970,6859343,1,1,1
Orange,624972,6985864,1,1,1
Orange,624985,6388025,1,1,0
Orange,624986,6421492,0,1,0
Free,624986,6421493,0,1,0
SFR,624986,6421493,1,1,0
Bouygues,624989,6185812,1,1,0
Free,624989,6185812,0,1,0
SFR,624989,6185812,1,1,0
Orange,624991,6185811,0,1,0
Orange,624994,6856392,0,0,0
Orange,625026,6398844,0,1,0
SFR,625026,6398844,1,1,0
Free,625026,6398845,0,1,0
Bouygues,625039,6805136,1,1,1
Bouygues,625045,6985890,1,1,1
SFR,625045,6985890,1,1,1
SFR,625050,6805126,1,1,1
Bouygues,625067,7090566,1,1,1
SFR,625067,7090566,1,1,1
Bouygues,625069,6853913,1,1,1
Orange,625082,7090566,1,1,0
Orange,625086,6806115,1,1,1
Orange,625095,6708272,1,1,0
Free,625095,6806103,0,1,1
Orange,625099,6876925,1,1,0
Bouygues,625107,6708241,1,1,1
SFR,625107,6708241,1,1,1
SFR,625133,6854298,1,1,1
Free,625134,6856277,0,1,1
Orange,625134,6859031,1,1,0
SFR,625146,6487200,1,1,0
Orange,625162,6568207,1,1,1
Bouygues,625173,6568192,1,1,1
Orange,625196,6487203,1,1,0
Bouygues,625196,6487204,1,1,0
SFR,625196,6568282,1,1,1
Free,625197,6487204,0,1,0
Orange,625207,6894549,1,1,1
SFR,625217,6868951,1,1,1
Orange,625223,6477869,1,1,1
Free,625225,6853218,0,1,1
SFR,625227,6853225,1,1,1
Bouygues,625229,6853248,1,1,1
Orange,625229,7016585,1,1,0
Bouygues,625236,6477832,1,1,1
SFR,625250,6477841,1,1,1
Orange,625257,6869017,1,1,1
SFR,625262,6894524,1,1,0
Free,625287,6676669,0,1,1
Orange,625331,6711932,1,1,0
Bouygues,625337,6845439,1,1,0
Orange,625356,6830128,1,1,1
Bouygues,625362,7030610,1,1,0
Bouygues,625364,6191847,1,1,0
SFR,625364,6191847,1,1,0
Free,625365,6191847,0,1,0
Orange,625366,6191846,0,1,0
Orange,625375,7030573,1,1,0
Orange,625378,6756355,1,1,1
Bouygues,625408,6756395,1,1,1
SFR,625417,6756395,1,1,1
Bouygues,625434,6852257,1,0,0
Orange,625434,7080554,1,1,1
Bouygues,625448,6881140,1,1,1
SFR,625448,6881140,1,1,1
Free,625455,6881141,0,1,1
Orange,625456,6772513,1,1,0
SFR,625468,6772528,1,1,0
SFR,625483,6858837,1,1,1
Bouygues,625497,6912960,1,1,1
SFR,625497,6912960,1,1,1
Orange,625499,6912960,1,1,1
SFR,625510,6918807,1,1,1
Bouygues,625522,6930479,1,1,1
SFR,625522,6930479,1,1,1
Bouygues,625533,6918830,1,1,1
Orange,625536,6716732,1,0,0
Orange,625546,6553390,1,1,1
Bouygues,625568,6638545,1,1,0
Orange,625568,6638545,1,1,0
SFR,625568,6638545,1,1,0
Free,625568,6638546,0,1,0
Bouygues,625584,6435645,1,1,1
SFR,625584,6435645,1,1,1
Orange,625605,6876457,0,1,0
Free,625609,6238245,0,1,0
SFR,625641,7061735,1,1,0
Bouygues,625648,6168445,1,1,1
Free,625648,6168445,0,1,1
SFR,625648,6168445,1,1,1
Orange,625649,6168444,1,1,1
Free,625698,6875622,0,1,1
SFR,625701,6875610,1,1,1
Bouygues,625706,6875615,1,1,1
Bouygues,625735,6242088,1,1,0
Orange,625736,6242088,1,1,1
Free,625751,6853731,0,1,1
Bouygues,625755,6242088,1,1,1
SFR,625755,6242088,1,1,1
SFR,625755,6855857,1,1,1
Bouygues,625770,6853748,1,1,1
Orange,625793,6870284,1,1,1
SFR,625797,6870292,0,1,0
Bouygues,625809,6870317,1,1,1
Orange,625816,6827585,1,1,1
Orange,625824,6723135,1,1,0
Orange,625824,6723135,1,0,0
SFR,625853,6313628,1,1,1
Orange,625878,6968356,1,1,0
Bouygues,625880,6313642,1,1,1
SFR,625917,6853648,1,1,1
Free,625919,6217155,0,1,1
Orange,625920,6925344,1,1,1
Orange,625927,6217159,0,1,0
Bouygues,625928,6925340,1,1,1
Free,625928,6925340,0,1,1
SFR,625929,6925296,1,1,1
SFR,625933,6217169,1,1,0
Bouygues,625936,6341651,1,1,0
SFR,625936,6341651,1,1,0
Orange,625937,6341650,1,1,0
Free,625937,6341651,0,1,0
Orange,625939,6854138,1,1,1
Bouygues,625963,6448080,1,1,1
SFR,625963,6448080,1,1,1
Orange,625981,6665006,1,1,0
Orange,626001,6870087,0,0,0
Orange,626034,6802349,1,1,1
SFR,626062,7030156,1,1,0
Bouygues,626100,7036066,1,0,0
Orange,626101,7036055,1,1,1
SFR,626104,6180559,1,1,0
Free,626104,6180560,0,1,0
Orange,626105,6180558,1,1,0
Orange,626105,6789367,0,0,0
Bouygues,626113,6280075,1,1,1
SFR,626113,6280075,1,1,1
Orange,626117,6883268,1,1,1
Orange,626202,6858558,1,1,1
Bouygues,626216,7078518,1,1,0
Orange,626241,6852605,1,1,1
Bouygues,626249,6553784,1,1,1
SFR,626249,6553784,1,1,1
SFR,626251,7078586,0,1,0
Orange,626286,7095040,1,1,1
Orange,626297,6153385,1,1,1
Bouygues,626304,6723039,1,1,1
SFR,626307,6723022,1,1,1
Free,626312,6723026,0,1,1
Orange,626313,6723026,1,1,1
Free,626352,6963805,0,1,1
Orange,626357,6963842,1,1,1
Bouygues,626376,6963765,1,1,1
SFR,626376,6963765,1,1,1
Free,626412,6852255,0,1,1
Orange,626430,6859180,1,1,0
Bouygues,626434,6859173,1,1,1
Bouygues,626461,6611512,1,1,1
SFR,626461,6611512,1,1,1
SFR,626483,6656319,1,1,0
Orange,626483,6656324,1,1,0
Bouygues,626507,6975851,1,1,1
SFR,626507,6975851,1,1,1
SFR,626521,6330459,1,1,1
SFR,626521,6858299,1,1,1
Orange,626531,6848606,1,1,0
Orange,626537,6761052,1,1,0
Orange,626546,6330418,1,1,0
SFR,626552,6848629,1,1,0
Bouygues,626553,6858301,1,1,1
Free,626553,6858301,0,1,1
Bouygues,626554,6848629,1,1,0
Bouygues,626563,6188526,1,1,0
SFR,626563,6188526,1,1,0
Free,626563,6188527,0,1,0
Orange,626565,6188525,0,1,0
SFR,626584,6853373,1,1,1
Free,626590,6853388,0,1,1
Orange,626624,6834049,1,1,0
Orange,626638,6757499,0,1,0
Orange,626677,6817134,1,1,0
Free,626679,6859555,0,1,1
SFR,626684,6859551,1,1,1
Bouygues,626707,6802077,1,1,1
SFR,626707,6802077,1,1,1
Bouygues,626716,6933759,1,1,1
SFR,626716,6933759,1,1,1
Free,626733,6933739,0,1,1
Bouygues,626734,6838389,1,1,1
SFR,626734,6838389,1,1,1
Orange,626734,6933739,1,1,1
Bouygues,626735,6702482,1,1,1
SFR,626735,6702482,1,1,1
SFR,626745,6852393,1,1,1
Orange,626767,6411942,0,1,0
SFR,626767,6411942,1,1,0
Free,626767,6411943,0,1,0
Orange,626783,6733849,1,1,0
SFR,626784,6733859,1,1,0
Orange,626786,6838440,1,1,0
Bouygues,626832,6483860,1,1,1
SFR,626832,6483860,1,1,1
Orange,626835,6824843,1,1,1
SFR,626842,6869773,1,1,1
Free,626863,6824849,0,1,1
SFR,626867,6824848,1,1,1
Orange,626868,6869760,1,1,1
Bouygues,626879,6734016,1,1,0
Bouygues,626880,6824855,1,1,1
Bouygues,626895,6956100,1,1,1
SFR,626895,6956100,1,1,1
SFR,626901,6238153,1,1,0
Bouygues,626917,6154261,1,1,0
Bouygues,626923,6966059,1,1,0
Bouygues,626944,6716740,1,1,1
SFR,626944,6716740,1,1,1
Bouygues,626958,6741082,1,1,1
Orange,626959,6741073,0,0,0
SFR,626961,7094760,1,1,1
SFR,626965,6367000,1,1,1
SFR,626967,6882333,1,1,0
Bouygues,626968,6366998,1,1,1
Bouygues,626980,6882322,1,1,1
Orange,626995,6879547,1,1,0
SFR,627008,6789380,1,1,0
Bouygues,627008,7094749,1,1,1
SFR,627019,6211164,1,1,0
Orange,627019,6755067,0,1,0
Free,627020,6211165,0,1,0
Orange,627021,6211164,0,1,0
SFR,627045,6867366,1,1,0
Orange,627046,6867328,1,1,1
Bouygues,627060,6827286,1,1,1
SFR,627062,6827287,1,1,1
Bouygues,627073,6867133,1,1,0
Bouygues,627083,6892074,1,1,1
Orange,627085,6892085,1,1,1
Bouygues,627090,6990760,1,1,1
SFR,627090,6990760,1,1,1
SFR,627091,6892081,1,1,1
Free,627091,6990761,0,1,1
Orange,627100,6230204,1,1,1
Orange,627108,6369279,1,1,0
Orange,627114,6991022,1,1,1
Orange,627155,6790579,0,0,1
Orange,627158,6842869,1,1,0
Orange,627187,6267059,1,1,0
Bouygues,627216,6224450,1,1,1
SFR,627216,6224450,1,1,1
Free,627226,6220099,0,1,0
Bouygues,627240,6240136,1,1,1
SFR,627240,6240136,1,1,1
Bouygues,627245,6875344,1,1,1
SFR,627248,6875339,1,1,1
Orange,627288,6682564,0,1,1
Orange,627289,6225859,1,1,0
Bouygues,627302,6826342,1,1,1
SFR,627323,7069354,1,1,1
SFR,627331,6855699,1,1,1
Orange,627332,6855729,1,1,0
Free,627334,6855701,0,1,0
Bouygues,627338,7069357,1,1,0
SFR,627376,6679528,1,1,1
Bouygues,627377,6679523,1,1,1
Free,627401,6386973,0,1,1
Bouygues,627409,6685190,1,1,0
Orange,627410,6685199,1,1,0
Orange,627412,6691395,1,1,0
Free,627446,6826797,0,1,1
SFR,627446,6826798,0,1,0
Orange,627447,6826798,0,1,1
Orange,627475,6810049,1,1,1
Free,627481,6872525,0,1,1
Bouygues,627482,6859730,1,1,1
Orange,627494,6859731,0,1,1
Bouygues,627502,6664659,1,1,1
SFR,627507,6664666,1,1,1
Bouygues,627525,6154866,1,1,1
Orange,627545,6393688,1,1,1
Orange,627561,6872572,1,1,1
Bouygues,627562,6852952,1,1,1
SFR,627604,7098295,1,1,0
Orange,627606,7098297,0,1,1
SFR,627617,6872563,1,1,1
Orange,627637,6537529,1,1,1
SFR,627649,6741246,1,1,1
SFR,627651,6154869,1,1,1
Free,627659,6681508,0,1,1
Orange,627661,6741200,1,1,1
Orange,627666,6997229,1,1,1
Orange,627675,6708770,1,1,0
Bouygues,627678,6181933,1,1,0
Free,627679,6330277,0,1,0
Orange,627680,6181933,0,1,0
Bouygues,627683,6708787,1,1,1
SFR,627683,6708787,1,1,1
SFR,627696,6181913,1,1,0
Free,627697,6181914,0,1,0
Orange,627698,6755919,1,1,1
SFR,627699,6865292,1,1,0
SFR,627704,6755917,1,1,0
Orange,627707,6843459,1,1,1
SFR,627713,6860810,1,1,1
Orange,627716,6687400,1,0,0
SFR,627717,6687409,1,1,0
Orange,627723,6876309,1,1,1
Free,627743,6273043,0,1,1
Bouygues,627761,6865150,1,1,0
Bouygues,627763,6960720,1,1,0
SFR,627763,6960720,1,1,0
Free,627764,6960721,0,1,0
Orange,627765,6960721,1,1,0
Free,627798,6883673,0,1,1
Bouygues,627846,6871581,1,1,1
Orange,627853,6865005,1,1,1
Bouygues,627864,6443424,1,1,0
Orange,627864,6443424,1,1,0
SFR,627864,6443424,1,1,0
Free,627864,6443425,0,1,0
Bouygues,627896,6880614,1,1,1
SFR,627898,6880571,1,1,1
SFR,627905,7084283,1,1,1
Bouygues,627908,7084300,1,1,1
SFR,627910,6682192,1,1,1
Orange,627913,7084287,1,1,1
Bouygues,627914,6682187,1,1,1
Bouygues,627931,6883654,1,1,1
Orange,627939,6832064,1,1,1
Orange,627939,6881804,1,1,1
SFR,627948,6878821,1,1,1
Orange,627955,6883713,1,1,1
Bouygues,627986,6823197,1,1,1
Orange,628021,6385298,1,1,1
Free,628028,6385264,0,1,1
SFR,628032,6385299,1,1,1
Bouygues,628034,6385302,1,1,1
Free,628057,6538357,0,1,0
Bouygues,628061,6538360,1,1,1
SFR,628061,6538360,1,1,1
Orange,628063,6704331,1,1,1
SFR,628104,6462648,1,1,0
SFR,628115,6749424,1,1,0
Bouygues,628118,6462648,1,1,0
Orange,628118,6462648,0,1,0
Free,628118,6462649,0,1,0
Orange,628118,6749427,1,1,0
SFR,628157,6756536,1,1,0
Orange,628163,6869328,0,1,1
SFR,628180,6877349,1,1,1
Orange,628224,6449200,1,1,1
Bouygues,628250,6690706,1,1,1
SFR,628250,6690706,1,1,1
Free,628254,6690704,0,1,1
SFR,628258,6823154,1,1,1
Bouygues,628292,6998447,1,1,1
SFR,628294,6998434,1,1,1
Bouygues,628295,6755712,0,1,1
Orange,628300,6852345,0,0,1
SFR,628303,6869437,1,1,1
Bouygues,628307,6869437,1,1,1
Orange,628311,6836300,1,1,0
Bouygues,628327,6273884,1,1,1
Bouygues,628332,6786550,1,1,0
SFR,628336,6273885,1,1,1
Bouygues,628402,7022094,1,1,1
SFR,628402,7022094,1,1,1
Orange,628418,6676717,1,1,1
Orange,628423,6313545,0,1,1
SFR,628433,6313546,1,1,0
Free,628467,6879421,0,1,1
SFR,628477,6871181,1,1,1
Free,628480,6869392,0,1,1
Orange,628510,6868882,0,0,0
Orange,628580,6317963,1,1,0
SFR,628586,6469039,1,1,0
Bouygues,628600,6915071,1,1,1
SFR,628600,6915071,1,1,1
Free,628629,6702501,0,1,1
Orange,628629,6702501,1,1,1
Bouygues,628632,6697548,1,1,1
Bouygues,628635,6468888,1,1,0
Orange,628635,6468888,1,1,0
Free,628635,6468889,0,1,0
Orange,628640,6697548,1,1,0
SFR,628661,6853946,1,1,1
Free,628663,6853945,0,1,1
Orange,628665,6853944,1,1,1
SFR,628689,6697574,1,1,1
Bouygues,628694,6750311,1,1,0
Free,628695,6750312,0,1,1
Bouygues,628697,6264714,1,1,1
SFR,628697,6264714,1,1,1
Free,628697,6264715,0,1,1
Bouygues,628723,6868187,1,1,1
Orange,628731,6681531,1,1,1
Bouygues,628735,6884649,1,1,1
Free,628736,6884650,0,1,1
Orange,628737,6884645,1,1,1
Free,628742,6317888,0,1,0
SFR,628744,6884642,1,1,1
Free,628745,6292328,0,1,1
Bouygues,628753,6292310,1,1,1
SFR,628753,6292310,1,1,1
Orange,628756,6724125,1,1,0
Orange,628777,6883426,1,1,1
Orange,628781,6820090,1,1,0
SFR,628782,6875218,1,1,1
Orange,628800,6977527,1,1,1
SFR,628812,6883476,1,1,1
Orange,628818,7088202,1,1,0
Orange,628836,6844574,1,1,1
Bouygues,628847,6844587,1,1,1
SFR,628849,6868137,1,1,1
Orange,628859,6868147,1,1,0
Bouygues,628877,6880826,1,1,1
Bouygues,628880,6703943,1,1,1
SFR,628880,6703943,1,1,1
Orange,628920,6682361,1,1,0
Free,628932,6880820,0,1,1
SFR,628935,6883760,1,1,1
Orange,628983,6483012,1,0,0
Bouygues,628984,6904478,1,1,1
SFR,628984,6904478,1,1,1
Free,628985,6904478,0,1,1
Orange,629009,6880745,1,1,1
SFR,629014,6172088,1,1,1
Bouygues,629019,6172088,1,1,1
SFR,629043,6871859,1,1,1
Orange,629044,6313725,1,1,0
SFR,629075,6882834,1,0,0
Bouygues,629079,6882836,1,1,1
Orange,629083,6882836,1,1,1
SFR,629088,6760719,1,1,0
Bouygues,629102,6853808,1,1,1
Orange,629102,6871791,1,1,1
SFR,629108,6869512,1,1,1
Orange,629115,6869526,1,1,1
SFR,629119,6881780,1,1,1
Orange,629121,6680696,1,1,1
Orange,629122,6881780,1,1,1
SFR,629124,6296328,1,1,1
Bouygues,629124,6296363,1,1,1
Bouygues,629125,6680683,1,1,1
Bouygues,629134,6855411,1,1,1
Bouygues,629138,6872916,1,1,1
Bouygues,629152,6926717,1,1,1
SFR,629152,6926717,1,1,1
Free,629153,6926717,0,1,1
Free,629159,6855195,0,1,1
SFR,629159,6882534,1,1,1
Orange,629160,6926734,0,1,1
Orange,629170,7069947,1,1,1
Bouygues,629175,6878963,1,1,1
Free,629179,7069887,0,1,1
Bouygues,629183,6855369,1,1,0
Bouygues,629184,6278740,1,1,1
SFR,629184,6278740,1,1,1
Free,629185,6278741,0,1,1
Bouygues,629185,6317826,1,1,1
Orange,629189,6856888,1,1,1
Orange,629193,6878967,1,1,1
SFR,629200,6879454,1,1,1
SFR,629214,6855020,0,1,1
SFR,629226,6878933,1,1,1
Orange,629242,7049296,1,1,0
SFR,629258,6863374,1,1,1
Orange,629267,6848333,1,1,0
Orange,629276,6784968,1,1,0
Orange,629280,6855858,0,0,0
Bouygues,629290,6856492,1,1,1
SFR,629291,6856487,1,1,1
Orange,629292,6856487,1,1,1
Bouygues,629295,6863430,1,1,0
Bouygues,629298,6854015,1,1,1
Orange,629303,6863393,1,1,1
SFR,629303,6882670,0,1,0
Free,629312,6875118,0,1,1
SFR,629314,6679264,1,1,1
Bouygues,629314,6679273,1,1,1
Orange,629326,6679230,1,1,0
Free,629335,6679212,0,1,1
Orange,629357,7080977,1,1,1
Bouygues,629358,6855889,0,1,0
SFR,629363,6155557,1,1,0
Orange,629365,6155556,1,1,0
Orange,629368,6775739,1,1,0
Bouygues,629379,6852303,1,1,1
Orange,629391,6852329,1,1,0
Bouygues,629391,6861827,1,0,0
Bouygues,629392,6883917,1,1,1
SFR,629402,6883942,1,1,0
SFR,629409,6861820,0,1,1
Orange,629412,7004695,1,1,0
Bouygues,629414,6883451,1,1,1
SFR,629416,6884343,0,1,0
Free,629420,6856852,0,1,1
Orange,629423,7092983,1,1,0
SFR,629424,6880879,1,1,1
SFR,629455,7080714,1,1,1
Bouygues,629458,7080713,1,1,1
SFR,629462,6728665,0,1,0
Bouygues,629465,6728661,1,1,0
Free,629466,6728661,0,1,0
Orange,629466,6728661,0,1,0
Free,629496,6633961,0,1,1
Orange,629502,6238447,1,1,1
SFR,629505,6854226,1,1,1
Bouygues,629509,6805857,1,0,0
Orange,629511,6805868,1,1,1
Free,629513,6785032,0,1,1
Free,629519,6805838,0,1,0
Orange,629532,6854257,0,0,0
Bouygues,629534,6805847,1,1,1
SFR,629534,6805847,1,1,1
Free,629534,6883782,0,1,1
Bouygues,629545,6854216,1,1,1
Free,629578,6873180,0,1,0
Bouygues,629590,6327353,1,1,0
Free,629591,6327355,0,1,1
Orange,629591,6855391,1,0,0
SFR,629591,6883800,1,1,1
Orange,629599,6883781,1,1,1
Orange,629603,6311992,1,1,1
Bouygues,629604,6311979,1,1,1
SFR,629610,6873138,1,1,1
Orange,629613,6870571,0,1,1
SFR,629617,6883154,1,1,1
SFR,629622,6327340,1,1,0
SFR,629646,6599704,1,1,1
Orange,629647,6327316,1,1,1
Bouygues,629649,6599742,1,1,1
SFR,629657,6871551,1,1,1
Free,629662,6884485,0,1,1
Orange,629691,6599737,1,0,0
Orange,629697,6854316,0,0,0
SFR,629707,6852751,1,1,1
Orange,629710,6875284,1,1,1
Free,629714,6852642,0,1,1
Orange,629726,6852634,1,1,1
Bouygues,629728,6854992,0,1,0
Bouygues,629735,6854241,1,1,1
SFR,629740,6851430,1,1,1
SFR,629744,6849709,1,1,0
Free,629749,6870906,0,1,1
SFR,629757,6854046,0,1,0
SFR,629757,6884379,0,1,1
Orange,629765,6855073,1,1,1
Bouygues,629774,6867296,1,1,1
Bouygues,629776,6774236,1,1,1
Orange,629776,6879275,0,0,1
Orange,629778,6849698,1,1,1
Orange,629780,6854748,0,0,0
Orange,629784,6854104,0,0,0
Orange,629785,6566299,1,1,0
SFR,629797,6887509,1,1,1
Bouygues,629799,6887520,1,1,1
Bouygues,629802,6849762,1,0,0
Bouygues,629805,6854491,1,1,1
Orange,629805,6887525,1,1,1
Orange,629812,6854246,0,0,0
SFR,629832,6197490,1,1,1
SFR,629832,6214607,1,1,0
Orange,629834,6214607,0,1,0
Bouygues,629842,6197510,1,1,1
Free,629842,6197510,0,1,1
Orange,629842,6870916,0,0,0
Orange,629843,6197509,1,1,1
Free,629847,6214620,0,1,0
Orange,629868,6851368,1,1,1
Orange,629892,6870854,0,0,0
SFR,629898,6969213,1,1,0
Orange,629900,6969214,1,1,0
Orange,629923,6853889,1,1,1
Free,629938,6793712,0,1,0
Orange,629939,6793712,1,1,0
Orange,629941,6508674,1,1,1
Bouygues,629951,6856880,1,1,0
Bouygues,629958,6855416,1,1,1
SFR,629966,6855410,0,1,1
Free,629970,6854547,0,1,1
Bouygues,629973,6756771,1,1,1
Bouygues,629973,6875227,1,1,1
Bouygues,629977,6870602,1,1,1
SFR,629980,6870610,1,1,1
Orange,629984,6280290,1,1,1
Orange,629989,6854588,0,1,1
Bouygues,629992,6508803,1,1,1
SFR,629992,6508803,1,1,1
Orange,630045,6870353,1,1,1
SFR,630046,6681460,1,1,1
Bouygues,630050,6681460,1,1,1
Bouygues,630050,6833430,1,1,1
Bouygues,630056,6897316,1,1,1
SFR,630056,6897316,1,1,1
Orange,630057,6897307,1,1,0
Orange,630067,6833445,1,1,1
SFR,630067,6870918,1,1,1
SFR,630070,6775694,1,1,0
SFR,630080,6833435,1,1,1
Bouygues,630095,6754939,1,1,1
Bouygues,630100,6819123,1,1,1
SFR,630100,6819123,1,1,1
Free,630101,6819124,0,1,1
Bouygues,630104,6854545,0,1,0
Orange,630104,6884753,0,1,0
SFR,630105,6754915,1,1,0
Orange,630109,6754932,1,1,0
Orange,630110,6677967,1,1,0
Bouygues,630127,6879390,1,1,1
SFR,630129,6879563,1,1,1
SFR,630146,6871515,1,1,1
SFR,630149,6857863,1,1,1
Bouygues,630150,6857879,1,1,1
Orange,630155,6854448,0,0,0
SFR,630167,6856453,1,1,1
SFR,630170,6867730,1,1,1
Bouygues,630189,6851284,1,1,1
Bouygues,630196,6644432,1,1,0
SFR,630196,6644432,1,1,0
Bouygues,630196,6856407,1,1,1
Free,630197,6644432,0,1,0
Orange,630197,6644432,1,1,0
Bouygues,630203,6993300,1,1,1
SFR,630203,6993300,1,1,1
Bouygues,630208,6853103,1,1,1
Orange,630220,6856455,0,0,0
Free,630235,6313870,0,1,0
SFR,630242,6861757,0,1,0
Orange,630243,6861741,1,1,1
SFR,630260,6869814,1,1,1
Bouygues,630303,6856408,1,1,1
Orange,630305,6314648,0,1,1
Bouygues,630319,7063649,1,1,0
SFR,630319,7063649,1,1,0
Free,630320,7063649,0,1,0
SFR,630322,6314704,1,1,1
Orange,630322,7063650,1,1,0
Bouygues,630324,6314701,1,1,1
Orange,630341,6830945,1,1,1
SFR,630346,6871618,1,1,0
SFR,630355,6415512,1,1,0
Free,630356,6415512,0,1,0
SFR,630368,6830913,1,1,0
Orange,630369,6415474,0,1,0
Bouygues,630370,6830886,1,1,0
Bouygues,630398,6844682,1,1,1
Free,630421,6883464,0,1,1
Free,630470,6884921,0,1,1
SFR,630491,6844694,1,1,1
Free,630493,6844689,0,1,1
Free,630501,6814839,0,1,1
SFR,630501,6854926,0,1,1
Orange,630513,6845484,1,1,1
Orange,630522,6317948,1,1,1
Bouygues,630523,6313886,1,1,0
Orange,630535,6814823,1,1,1
SFR,630539,6871037,1,1,1
SFR,630548,6854645,1,1,0
Bouygues,630565,6814810,1,1,1
SFR,630566,6814813,1,1,1
SFR,630571,6852310,1,1,1
SFR,630590,7030319,1,1,1
Bouygues,630616,7030314,1,1,1
Free,630616,7030315,0,1,1
Orange,630628,6854752,0,0,0
Orange,630628,6854752,1,1,1
Orange,630639,6855107,1,1,1
Bouygues,630650,6877162,1,1,1
Bouygues,630686,6932139,1,1,1
Orange,630688,6932286,1,1,0
Bouygues,630739,6861587,1,1,1
SFR,630739,6932138,1,1,0
Orange,630743,6862222,1,1,1
SFR,630748,6854091,1,1,0
Orange,630751,6407387,0,1,0
Orange,630751,6854268,1,1,1
Free,630762,6407378,0,1,0
SFR,630762,6407378,0,1,0
Bouygues,630762,6885030,1,1,1
Orange,630764,6885014,1,1,1
SFR,630767,6885023,1,1,1
SFR,630774,6838293,1,1,1
Orange,630775,6838291,1,1,1
Free,630776,6838286,0,1,1
Bouygues,630785,6838261,1,1,1
Bouygues,630795,6313076,1,1,1
SFR,630797,6857431,1,1,1
SFR,630798,6313080,1,1,1
Free,630830,6318066,0,1,1
Bouygues,630830,6867755,1,0,0
Bouygues,630832,6395514,1,1,1
Orange,630837,6704394,1,1,0
Orange,630839,6852899,1,1,1
SFR,630842,6395464,1,1,1
Bouygues,630843,6182611,1,1,0
Orange,630843,6838565,1,0,0
